#pci_vid_pid,chip_name,device_name,vendor_name,class,sub_vid_pid,driver_name,codec_support,stream_format,图形API/计算API,vo,opengl_renderer,END
1d17:3a04,ZX-E,C-960 GPU,兆芯,末知,无,zhaoxin,H.264及H.265,H.264/H.265,Open_GL:支持DX11.1、Open_GL_3.2,vaapi,NUL,END
0014:7a06,Display Controller,龙芯7A1000 DC (Display Controller),龙芯,0x0380,无,loongson-drm,软解,软解,OpenGL_1.5/2.0OpenGL_ES_2.0OpenCL_1.2,NUL,NUL,END
19e5:XXXX,NUL,麒麟990_5G,华为,末知,无,unknow,NUL,NUL,NUL,NUL,NUL,END
#末知1,sm768,sm768,SIMO慧荣科技,末知,无,unknow,NUL,1080P_H264/MPEG_Decoder,NA,NUL,NUL,END
#末知2,NUL,寒武纪,寒武纪,末知,无,unknow,NUL,NUL,NUL,NUL,NUL,END
1ed5:0101,S10,Moore Threads MIT S10,Moore Threads摩尔线程,0x0000,无,unknow,vaapi,H.264/H.265/VP9,NUL,NUL,NUL,END
1ed5:0102,S30,Moore Threads MIT S10,Moore Threads摩尔线程,0x0000,无,unknow,vaapi,NUL,NUL,NUL,NUL,END
1ed5:0105,S50,Moore Threads MIT S10,Moore Threads摩尔线程,0x0000,无,unknow,vaapi,NUL,NUL,NUL,NUL,END
1ed5:0106,S60,Moore Threads MIT S10,Moore Threads摩尔线程,0x0000,无,unknow,vaapi,NUL,NUL,NUL,NUL,END
#末知4,NUL,中船重工709,中船重工709,末知,无,unknow,vaapi,NUL,OpenGL_4.5OpenGL_ES_3.0OpenCL_2.0,NUL,NUL,END
#末知5,NUL,716所,716所,末知,无,unknow,视频解码_支持,视频解码_支持,NUL,NUL,NUL,END
0731:7200,JM7200,JD7201P-G1100N1GHFX,景嘉微,0x0300,0731:7201,mwv206,vaapi,ffmpeg/264-1K,OpenGL_1.5/OpenGL_ES_不支持/OpenCL_不支持,NUL,NUL,END
0731:9200,JM9200,景嘉微JM9200,景嘉微,末知,无,mwv206,vaapi,ffmpeg/H256/264/MPEG2和MPEG4/-4K,OpenGL4.0/OpenGLES3.2/OPENCL3.0/Vulkan1.1,NUL,NUL,END
1ec8:1eb8,风华1号,风华1号,Innosilicon Co Ltd芯动科技,0x0302,1ec8:12a2 ,inno-g1,vaapi,ffmpeg4.3.2/4K@60fps/H.264/H.265 Main/Main10/Main Still Picture,OPENGL 4.25/OPENGL ES 3.2/VULKAN 1.2/OPENCL 1.2 / 2.1EP / 3.0,NUL,NUL,END
1ec8:9800,Fantasy II,Fantasy II,Innosilicon Co Ltd芯动科技,0x0302,1EC8:9800,inno-drv,vaapi,ffmpeg4.3.2/4K@60fps/H.264/H.265 Main/Main11/Main Still Picture,OPENGL 4.25/OPENGL ES 3.2/VULKAN 1.2/OPENCL 1.2 / 2.1EP / 3.0,NUL,NUL,END
1ec8:9802,Fantasy II,Fantasy II,Innosilicon Co Ltd芯动科技,0x0302,1ec8:12a2 ,inno-drv,vaapi,ffmpeg4.3.2/4K@60fps/H.264/H.265 Main/Main11/Main Still Picture,OPENGL 4.25/OPENGL ES 3.2/VULKAN 1.2/OPENCL 1.2 / 2.1EP / 3.0,NUL,NUL,END
1ec8:9804,Fantasy II,Fantasy II,Innosilicon Co Ltd芯动科技,0x0302,1ec8:12a2 ,inno-drv,vaapi,ffmpeg4.3.2/4K@60fps/H.264/H.265 Main/Main11/Main Still Picture,OPENGL 4.25/OPENGL ES 3.2/VULKAN 1.2/OPENCL 1.2 / 2.1EP / 3.0,NUL,NUL,END
1ec8:9810,Fantasy III,Fantasy III,Innosilicon Co Ltd芯动科技,0x0302,1ec8:12a2 ,inno-drv,vaapi,ffmpeg4.3.2/4K@60fps/H.264/H.265 Main/Main11/Main Still Picture,OPENGL 4.25/OPENGL ES 3.2/VULKAN 1.2/OPENCL 1.2 / 2.1EP / 3.0,NUL,NUL,END
